crop,climate,...3,week,mean_sif,sd_sif,se_sif,smooth_sif,smooth_se,smooth_sd
Durum Wheat,Cold Semi-Arid,1814,15,0.0198858785671527,0.157121635173922,0.082471355631335,-0.017663677018089973,0.0711440570299662,0.1518472149679384
Durum Wheat,Cold Semi-Arid,1815,16,0.00973919857266885,0.119253825159524,0.053933904061917,-0.011629278279861044,0.07505175088433103,0.15946796223252574
Durum Wheat,Cold Semi-Arid,1816,17,0.0139630614225838,0.226825256105291,0.107240322685746,0.005221675752745655,0.07838630798706873,0.1663363300434719
Durum Wheat,Cold Semi-Arid,1817,18,0.054150704805993,0.170659154968493,0.0754735189913659,0.03177385331275935,0.08179826296833992,0.1735036334965521
Durum Wheat,Cold Semi-Arid,1818,19,0.0556968161941768,0.175279069148491,0.0836118890164351,0.0630392029858851,0.08552871985081013,0.18115480961295682
Durum Wheat,Cold Semi-Arid,1819,20,0.0380829828589288,0.222745622196052,0.107940418819004,0.10049011482122931,0.0884189456334817,0.18737681794576183
Durum Wheat,Cold Semi-Arid,1820,21,0.106009268350209,0.151034922463733,0.0799487818721463,0.1625503267653361,0.09048161543038631,0.19260182449997884
Durum Wheat,Cold Semi-Arid,1821,22,0.188072358792717,0.225398742518905,0.100980065073872,0.24275822191338325,0.09223180991446224,0.19755204723409184
Durum Wheat,Cold Semi-Arid,1822,23,0.16615960429664,0.144904038982651,0.0696204848023499,0.30525815803742795,0.09326440442307167,0.2007495236313851
Durum Wheat,Cold Semi-Arid,1823,24,0.328406031567741,0.202014719584509,0.0886123008810559,0.3666317345377441,0.0931765804666385,0.20167970418979894
Durum Wheat,Cold Semi-Arid,1824,25,0.359947557320508,0.223216933768713,0.100154837438847,0.44066833478244777,0.09228889657533898,0.2012619862066127
Durum Wheat,Cold Semi-Arid,1825,26,0.55024086282485,0.203005807930999,0.0965954008484856,0.48732399249535896,0.09128129361616384,0.20016932736411905
Durum Wheat,Cold Semi-Arid,1826,27,0.658984443365976,0.230086669583695,0.103059492232911,0.5006729425980658,0.09018291905196676,0.19849540248643677
Durum Wheat,Cold Semi-Arid,1827,28,0.772729478934139,0.198509584893292,0.0869072768252625,0.5023321727645782,0.08864303782741444,0.19590909460425346
Durum Wheat,Cold Semi-Arid,1828,29,0.673019223605042,0.185473391612837,0.0817937718639777,0.49357184584734826,0.08677176703221703,0.19244617370971506
Durum Wheat,Cold Semi-Arid,1829,30,0.587934054408861,0.191723872064286,0.0905260828335784,0.4756621246988284,0.08467922375608473,0.18814240979496746
Durum Wheat,Cold Semi-Arid,1830,31,0.386583990648527,0.165070396982432,0.0723657974097597,0.4259998304093649,0.08179380872615183,0.18160535515613146
Durum Wheat,Cold Semi-Arid,1831,32,0.260423616032737,0.156393913951504,0.0734610642048008,0.34902196461463075,0.07817440804783785,0.17312023876629967
Durum Wheat,Cold Semi-Arid,1832,33,0.171077464276675,0.16082210820972,0.0729410688712708,0.2865589609850686,0.07487686687828102,0.1652393456330761
